section,line_no,component,position,material_id,material_description,colour_pantone_hex,supplier_ref,dimension_spec,thickness_mm,density_or_hardness,stitch_type_iso4915,spi,rows,edge_distance_mm,thread_spec,edge_treatment,seam_type,reinforcement_note,adhesive_system,process,logo_application,tolerance,test_standard,compliance_flags,cost_driver_notes,benchmark_value,confidence
META,1,style name/code,header,n/a,style metadata,n/a,n/a,name + code + gender + category + season,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,--,,per 13-section sheet,nb-spec-sheet-13sec,template
META,2,colourway,header,n/a,colour block plan,Pantone/HEX per panel,n/a,colour blocking diagram attached,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,lab-dip approval,--,,dye lots per panel,artwork colour spec column,template
META,3,last reference,header,n/a,last ID + fit type,n/a,n/a,standard/wide/slim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,--,,last library ref,measurements+fit section,template
UPPER,4,vamp,forepart,mat-leather-bovine-full-grain,full grain leather per swatch,TBD,TBD,per pattern,1.4-1.6,n/a,301,8,2,1.5 first / 2.5 gauge,bonded poly Tex 60-70,folded,standard,double stitch at stress points,n/a,prc-clicking-cutting,n/a,±0.1mm substance,std-satra-upper-family,chrome-vi-risk,cut from bend; avoid belly,Tex 60 lockstitch 7-9 SPI,template
UPPER,5,quarter,medial+lateral,mat-textile-open-mesh,open mesh laminate,TBD,TBD,per pattern,~2.5 laminate,n/a,301,8,1,2.0,bonded poly Tex 60-70,raw,standard,n/a,n/a,cut+close,n/a,±1 SPI,std-satra-upper-family,,3mm hex face per 1906R,pigskin suede + mesh recipe,template
UPPER,6,mudguard/toe bumper,forepart perimeter,cmp-toe-bumper,TPU or suede guard,TBD,TBD,per pattern,0.8-1.2,n/a,301,8,2,2.0,bonded poly Tex 90,folded,overlap,bonded toe cap option,cement assist,prc-skiving,n/a,visual AQL,std-satra-abrasion-family,,double row on load edge,bonded toe cap (Specs.pdf),template
UPPER,7,eyestay,throat,cmp-eyestay,reinforced facing,TBD,TBD,base 15-20mm taper to 10-15mm,1.4-1.6,n/a,301,8,2,1.5,bonded poly Tex 70,folded,overlap,reinforced top 2 eyelets + bartack,n/a,prc-skiving,n/a,±0.5mm margin,std-satra-seam-family,chrome-vi-risk,backer required,20mm base to 12mm top example,example-vince
UPPER,8,eyelets,eyestay,cmp-eyelet,washered metal eyelet,nickel-free,TBD,6 pairs; pitch per pattern,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,bartack adjacent,n/a,set+wash,n/a,pull-out min,std-satra-fastener-family,nickel-release,washered > blind,reinforced top 2 holes,template
UPPER,9,collar padding,topline,cmp-collar-padding,open-cell PU ring,n/a,TBD,Achilles lobe + sides,10-15 Achilles / 8-10 sides,28-30 kg/m3 / Shore C ~35,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,hot-melt tack,assemble,n/a,±2mm,std-satra-cushion-family,,plush try-on moment,1906R 15/8mm corroborates,example-vince
UPPER,10,vamp padding,forepart internal,mat-eva,EVA backer,n/a,TBD,toe shape zone,1.5-2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,laminate,assemble,n/a,±0.3mm,--,,structure without bulk,guidance + 1906R agree,example-vince
